5
10
-0.924343685	0.655093402	-2.964019320	-0.265522778	-1.021609908	0.657438520
-0.911276310	0.657438520	-3.015099816	0.008146018	-0.012609731	0.657387137
-0.911680357	0.657387137	-3.015730302	0.729762867	0.223491592	0.652806769
-0.947879871	0.652806769	-3.004555723	-0.657968837	1.282878789	0.657300973
-0.915289848	0.657300973	-2.940411783	0.327275454	0.008447717	0.654031058
-0.931323585	0.654031058	-2.939989397	0.644169940	-0.666970055	0.647581616
-0.962879757	0.647581616	-2.973337900	0.761930195	0.098765825	0.641201898
-1.000438288	0.641201898	-2.968399609	-0.814812712	-0.051697212	0.648222671
-0.960307151	0.648222671	-2.970984469	-0.356405695	0.135341843	0.651248230
-0.942745586	0.651248230	-2.964217377	0.913407750	-0.416185070	0.643189843
